id,current,benchmark,higher_is_better,measured,source,window,incr_spend
reach,500000,800000,1,1,meta:reach_prospecting,2026-05,20000
nvs,40000,70000,1,1,ga4:new_user_sessions,2026-05,
organic,30000,50000,1,1,ga4:organic_sessions,2026-05,
brand,8000,15000,1,1,ga4:branded_search_clicks,2026-05,
cpm,22,18,0,1,meta:cpm,2026-05,
frequency,3.4,2.5,0,1,meta:frequency,2026-05,
hook,0.20,0.28,1,1,meta:3s_view_rate,2026-05,
ctr,0.009,0.012,1,1,meta:ctr,2026-05,
cpc,1.45,1.10,0,1,databox:cpc,2026-05,
email_cap,0.02,0.04,1,1,klaviyo:new_subs/ga4:sessions,2026-05,
list_growth,400,900,1,1,klaviyo:net_new_subscribers,2026-05,
open_rate,0.33,0.40,1,1,klaviyo:open_rate,2026-05,
click_rate,0.013,0.020,1,1,klaviyo:click_rate,2026-05,
rtg_pool,60000,120000,1,1,meta:warm_audience_size,2026-05,
pdp_rate,0.40,0.50,1,1,ga4:view_item/sessions,2026-05,
atc_rate,0.07,0.10,1,1,ga4:add_to_cart/view_item,2026-05,
bounce,0.52,0.40,0,1,ga4:bounce_rate,2026-05,
ic_rate,0.35,0.42,1,1,ga4:begin_checkout/add_to_cart,2026-05,
checkout,0.60,0.72,1,1,shopify:purchase/begin_checkout,2026-05,
cart_aband,0.78,0.68,0,1,shopify:cart_abandonment,2026-05,
co_aband,0.40,0.28,0,1,shopify:checkout_abandonment,2026-05,
new_cvr,0.012,0.018,1,1,ga4:cvr_new,2026-05,
mob_cvr,0.011,0.020,1,1,ga4:cvr_mobile,2026-05,
site_speed,0.60,0.85,1,1,psi:lcp_score,2026-05,
trust,4.2,4.7,1,1,reviews:avg_rating,2026-05,
upo,1.2,1.5,1,1,triplewhale:units_per_order,2026-05,
attach,0.05,0.15,1,1,shopify:cross_sell_attach_rate,2026-05,
upsell,0.08,0.20,1,1,upsellapp:take_rate,2026-05,
bundle,0.10,0.25,1,1,shopify:bundle_order_share,2026-05,
repeat_rate,0.18,0.27,1,1,triplewhale:repeat_purchase_rate,2026-05,
freq,1.3,1.8,1,1,triplewhale:purchase_frequency,2026-05,
ltv,95,140,1,1,triplewhale:ltv_90d,2026-05,
return_rate,0.12,0.10,0,1,shopify:return_rate,2026-05,
sub_churn,0.09,0.07,0,1,subapp:monthly_churn,2026-05,
