source,target,strength,direction,lag_weeks,type
orders,revenue,1.0,positive,0,identity
aov,revenue,0.95,positive,0,identity
ret_rev,revenue,0.7,positive,0,identity
sessions,orders,0.9,positive,0,identity
cvr_id,orders,0.9,positive,0,identity
cvr,cvr_id,0.9,positive,0,signal
checkout,cvr,0.8,positive,0,signal
ic_rate,cvr,0.55,positive,0.5,signal
cart_aband,cvr,0.75,negative,0,signal
co_aband,cvr,0.6,negative,0,signal
new_cvr,cvr,0.6,positive,0,signal
ret_cvr,cvr,0.6,positive,0,signal
mob_cvr,cvr,0.6,positive,0,signal
rtcvr,cvr,0.55,positive,0,signal
site_speed,cvr,0.55,positive,0,signal
trust,cvr,0.5,positive,0,signal
pay_success,checkout,0.6,positive,0,signal
express_co,checkout,0.45,positive,0,signal
co_aband,checkout,0.6,negative,0,signal
pdp_rate,cvr,0.5,positive,0,signal
atc_rate,ic_rate,0.7,positive,0.5,signal
atc_rate,cvr,0.5,positive,0.5,signal
atc_vol,orders,0.4,positive,0,signal
eng_time,cvr,0.45,positive,0,signal
pages_sess,cvr,0.4,positive,0,signal
bounce,cvr,0.5,negative,0,signal
eng_rate,cvr,0.4,positive,0,signal
rvr,ret_cvr,0.5,positive,1,signal
rvr,sessions,0.45,positive,1,signal
rtg_pool,rtcvr,0.6,positive,1,signal
bis,cvr,0.3,positive,2,signal
lpv,pdp_views,0.6,positive,0,signal
pdp_views,atc_vol,0.6,positive,0,signal
nvs,lpv,0.7,positive,0,signal
nvs,sessions,0.7,positive,1,signal
email_cap,list_growth,0.7,positive,1,signal
sms_cap,list_growth,0.6,positive,1,signal
quiz,email_cap,0.5,positive,0,signal
lead_mag,email_cap,0.5,positive,0,signal
list_growth,list_size,0.7,positive,1,signal
deliver,open_rate,0.6,positive,0,signal
open_rate,click_rate,0.6,positive,0,signal
click_rate,flow_ctr,0.5,positive,0,signal
click_rate,rvr,0.5,positive,1,signal
click_rate,brand,0.4,positive,3,signal
click_rate,revenue,0.4,positive,2,signal
flow_ctr,pp_flow_rev,0.6,positive,2,signal
rtg_pool,rvr,0.4,positive,1,signal
reach,rtg_pool,0.6,positive,1,signal
pdp_views,rtg_pool,0.4,positive,1,signal
tof_spend,impressions,0.8,positive,0,signal
tof_spend,reach,0.7,positive,0,signal
impressions,reach,0.6,positive,0,signal
cpm,reach,0.5,negative,0,signal
cre_vol,cre_div,0.5,positive,0,signal
cre_div,hook,0.4,positive,0,signal
hook,hold,0.5,positive,0,signal
hold,watch,0.6,positive,0,signal
hook,ctr,0.6,positive,0,signal
ctr,cpc,0.5,negative,0,signal
frequency,ctr,0.4,negative,0,signal
ctr,nvs,0.6,positive,0,signal
lpv_rate,lpv,0.6,positive,0,signal
ctr,lpv_rate,0.4,positive,0,signal
reach,nvs,0.6,positive,2,signal
pct_new,nvs,0.5,positive,1,signal
organic,sessions,0.6,positive,0,signal
referral,sessions,0.4,positive,0,signal
brand,sessions,0.72,positive,5,signal
direct,sessions,0.6,positive,5,signal
reach,brand,0.55,positive,5,signal
watch,brand,0.4,positive,5,signal
follow,brand,0.4,positive,8,signal
sov,brand,0.5,positive,5,signal
ugc_reach,reach,0.5,positive,0,signal
ugc_reach,brand,0.4,positive,5,signal
reach,direct,0.4,positive,5,signal
upo,aov,0.6,positive,0,signal
asp,aov,0.5,positive,0,signal
attach,aov,0.5,positive,0,signal
upsell,aov,0.55,positive,0,signal
bundle,aov,0.5,positive,0,signal
sub_attach,aov,0.4,positive,0,signal
ship_gap,aov,0.45,positive,0,signal
bnpl,aov,0.4,positive,0,signal
discount,aov,0.3,positive,0,signal
discount,cvr,0.4,positive,0,signal
gwp,aov,0.3,positive,0,signal
attach,upo,0.5,positive,0,signal
bundle,upo,0.5,positive,0,signal
upsell,upo,0.4,positive,0,signal
repeat_rate,ret_rev,0.7,positive,0,signal
freq,ret_rev,0.6,positive,0,signal
ltv,ret_rev,0.7,positive,0,signal
rep_30_90,repeat_rate,0.6,positive,4,signal
ibt,freq,0.6,negative,0,signal
sub_active,ret_rev,0.6,positive,0,signal
sub_churn,sub_active,0.6,negative,0,signal
winback,ret_rev,0.4,positive,2,signal
pp_flow_rev,ret_rev,0.6,positive,2,signal
pp_flow_rev,revenue,0.4,positive,2,signal
loyalty,repeat_rate,0.5,positive,4,signal
repeat_rate,ltv,0.6,positive,0,signal
freq,ltv,0.6,positive,0,signal
return_rate,ltv,0.5,negative,0,signal
return_rate,ret_rev,0.4,negative,0,signal
replenish,freq,0.5,positive,4,signal
nps,repeat_rate,0.4,positive,4,signal
sub_attach,sub_active,0.5,positive,2,signal
referral_rate,referral,0.5,positive,4,signal
referral_rate,reach,0.3,positive,4,signal
review_rate,trust,0.5,positive,2,signal
review_rate,sov,0.4,positive,4,signal
nps,referral_rate,0.4,positive,4,signal
loyalty,referral_rate,0.3,positive,4,signal
ltv,tof_spend,0.5,positive,8,signal
reach,frequency,0.45,negative,0,signal
impressions,frequency,0.5,positive,0,signal
pdp_rate,pdp_views,0.5,positive,0,signal
cpc,nvs,0.5,negative,0,signal
nvs,list_growth,0.55,positive,1,signal
list_size,revenue,0.45,positive,1,signal
return_rate,revenue,0.5,negative,0,signal
